producto,provincia
 PERA,Buenos Aires
 PERA,Catamarca
 PERA,Chaco
 PERA,Chubut
 PERA,Corrientes
 PERA,Córdoba
 PERA,Entre Ríos
 PERA,Jujuy
 PERA,La Rioja
 PERA,Mendoza
 PERA,Misiones
 PERA,Neuquén
 PERA,Río Negro
 PERA,Salta
 PERA,San Juan
 PERA,San Luis
 PERA,Santa Fe
 PERA,Santiago del Estero
 PERA,Tucumán
MANZANA,Buenos Aires
MANZANA,Catamarca
MANZANA,Chaco
MANZANA,Chubut
MANZANA,Corrientes
MANZANA,Córdoba
MANZANA,Entre Ríos
MANZANA,Jujuy
MANZANA,La Rioja
MANZANA,Mendoza
MANZANA,Misiones
MANZANA,Neuquén
MANZANA,Río Negro
MANZANA,Salta
MANZANA,San Juan
MANZANA,San Luis
MANZANA,Santa Fe
MANZANA,Santiago del Estero
MANZANA,Tucumán
 MANZANA,Buenos Aires
 MANZANA,Catamarca
 MANZANA,Chaco
 MANZANA,Chubut
 MANZANA,Corrientes
 MANZANA,Córdoba
 MANZANA,Entre Ríos
 MANZANA,Jujuy
 MANZANA,La Rioja
 MANZANA,Misiones
 MANZANA,Neuquén
 MANZANA,Río Negro
 MANZANA,Salta
 MANZANA,San Juan
 MANZANA,San Luis
 MANZANA,Santa Fe
 MANZANA,Santiago del Estero
 MANZANA,Tucumán
CAÑA DE AZUCAR,Buenos Aires
CAÑA DE AZUCAR,Catamarca
CAÑA DE AZUCAR,Chubut
CAÑA DE AZUCAR,Corrientes
CAÑA DE AZUCAR,Córdoba
CAÑA DE AZUCAR,Entre Ríos
CAÑA DE AZUCAR,La Pampa
CAÑA DE AZUCAR,Mendoza
CAÑA DE AZUCAR,Misiones
CAÑA DE AZUCAR,Neuquén
CAÑA DE AZUCAR,Río Negro
CAÑA DE AZUCAR,Salta
CAÑA DE AZUCAR,San Juan
CAÑA DE AZUCAR,San Luis
CAÑA DE AZUCAR,Santa Cruz
CAÑA DE AZUCAR,Santa Fe
CAÑA DE AZUCAR,Santiago del Estero
CAÑA DE AZUCAR,Tucumán
PERA,Buenos Aires
PERA,Catamarca
PERA,Chaco
PERA,Chubut
PERA,Corrientes
PERA,Córdoba
PERA,Entre Ríos
PERA,Jujuy
PERA,La Rioja
PERA,Misiones
PERA,Neuquén
PERA,Río Negro
PERA,Salta
PERA,San Juan
PERA,Santa Fe
PERA,Santiago del Estero
PERA,Tucumán
 CIRUELA,Buenos Aires
 CIRUELA,Catamarca
 CIRUELA,Chaco
 CIRUELA,Chubut
 CIRUELA,Corrientes
 CIRUELA,Córdoba
 CIRUELA,Jujuy
 CIRUELA,La Rioja
 CIRUELA,Mendoza
 CIRUELA,Misiones
 CIRUELA,Neuquén
 CIRUELA,Río Negro
 CIRUELA,Salta
 CIRUELA,San Juan
 CIRUELA,Santa Fe
 CIRUELA,Tucumán
 DURAZNO,Buenos Aires
 DURAZNO,Catamarca
 DURAZNO,Chaco
 DURAZNO,Chubut
 DURAZNO,Corrientes
 DURAZNO,Córdoba
 DURAZNO,La Rioja
 DURAZNO,Mendoza
 DURAZNO,Misiones
 DURAZNO,Río Negro
 DURAZNO,Salta
 DURAZNO,San Juan
 DURAZNO,Santa Fe
 DURAZNO,Santiago del Estero
 DURAZNO,Tucumán
 INCULTO,Corrientes
 INCULTO,Córdoba
 INCULTO,Entre Ríos
 INCULTO,Jujuy
 INCULTO,La Rioja
 INCULTO,Mendoza
 INCULTO,Misiones
 INCULTO,Neuquén
 INCULTO,Río Negro
 INCULTO,Salta
 INCULTO,San Juan
 INCULTO,Santa Fe
 INCULTO,Santiago del Estero
 MAIZ,Buenos Aires
 MAIZ,Chaco
 MAIZ,Chubut
 MAIZ,Córdoba
 MAIZ,Entre Ríos
 MAIZ,Mendoza
 MAIZ,Misiones
 MAIZ,Neuquén
 MAIZ,San Juan
 MAIZ,Santa Fe
 MAIZ,Tucumán
 TRIGO,Buenos Aires
 TRIGO,Chubut
 TRIGO,Corrientes
 TRIGO,Córdoba
