producto,producciones,provincia,departamento
CAÑA DE AZUCAR,197,Buenos Aires,Villarino
CAÑA DE AZUCAR,197,Buenos Aires,Tres Arroyos
CAÑA DE AZUCAR,197,Buenos Aires,Tandil
CAÑA DE AZUCAR,197,Buenos Aires,San Isidro
CAÑA DE AZUCAR,197,Buenos Aires,Pergamino
CAÑA DE AZUCAR,197,Buenos Aires,Malvinas Argentinas
CAÑA DE AZUCAR,197,Buenos Aires,Lobos
CAÑA DE AZUCAR,197,Buenos Aires,Lincoln
CAÑA DE AZUCAR,197,Buenos Aires,General Las Heras
CAÑA DE AZUCAR,197,Buenos Aires,Campana
CAÑA DE AZUCAR,197,Buenos Aires,Baradero
CAÑA DE AZUCAR,197,Buenos Aires,Azul
CAÑA DE AZUCAR,197,Buenos Aires,Alberti
CAÑA DE AZUCAR,197,Catamarca,La Paz
CAÑA DE AZUCAR,197,Chubut,Gaiman
CAÑA DE AZUCAR,197,Corrientes,Bella Vista
CAÑA DE AZUCAR,197,Córdoba,San Javier
CAÑA DE AZUCAR,197,Entre Ríos,Victoria
CAÑA DE AZUCAR,197,Entre Ríos,San Salvador
CAÑA DE AZUCAR,197,Entre Ríos,Concordia
CAÑA DE AZUCAR,197,La Pampa,Caleu Caleu
CAÑA DE AZUCAR,197,Mendoza,Tupungato
CAÑA DE AZUCAR,197,Mendoza,Santa Rosa
CAÑA DE AZUCAR,197,Mendoza,San Rafael
CAÑA DE AZUCAR,197,Mendoza,Lavalle
CAÑA DE AZUCAR,197,Mendoza,Las Heras
CAÑA DE AZUCAR,197,Mendoza,La Paz
CAÑA DE AZUCAR,197,Mendoza,General Alvear
CAÑA DE AZUCAR,197,Misiones,San Javier
CAÑA DE AZUCAR,197,Misiones,San Ignacio
CAÑA DE AZUCAR,197,Misiones,Montecarlo
CAÑA DE AZUCAR,197,Neuquén,Confluencia
CAÑA DE AZUCAR,197,Río Negro,General Roca
CAÑA DE AZUCAR,197,Río Negro,El Cuy
CAÑA DE AZUCAR,197,Salta,San Carlos
CAÑA DE AZUCAR,197,Salta,Rosario de la Frontera
CAÑA DE AZUCAR,197,Salta,Guachipas
CAÑA DE AZUCAR,197,Salta,Chicoana
CAÑA DE AZUCAR,197,Salta,Cerrillos
CAÑA DE AZUCAR,197,Salta,Anta
CAÑA DE AZUCAR,197,San Juan,Rawson
CAÑA DE AZUCAR,197,San Juan,Pocito
CAÑA DE AZUCAR,197,San Juan,Caucete
CAÑA DE AZUCAR,197,San Juan,25 de Mayo
CAÑA DE AZUCAR,197,San Luis,Coronel Pringles
CAÑA DE AZUCAR,197,San Luis,Ayacucho
CAÑA DE AZUCAR,197,Santa Cruz,Magallanes
CAÑA DE AZUCAR,197,Santa Cruz,Güer Aike
CAÑA DE AZUCAR,197,Santa Fe,San Lorenzo
CAÑA DE AZUCAR,197,Santa Fe,San Javier
CAÑA DE AZUCAR,197,Santa Fe,Rosario
CAÑA DE AZUCAR,197,Santa Fe,Caseros
CAÑA DE AZUCAR,197,Santa Fe,9 de Julio
CAÑA DE AZUCAR,197,Santiago del Estero,Sarmiento
CAÑA DE AZUCAR,197,Santiago del Estero,Rivadavia
CAÑA DE AZUCAR,197,Santiago del Estero,Quebrachos
CAÑA DE AZUCAR,197,Santiago del Estero,La Paz
CAÑA DE AZUCAR,197,Santiago del Estero,Belgrano
CAÑA DE AZUCAR,197,Santiago del Estero,Avellaneda
CAÑA DE AZUCAR,197,Tucumán,Yerba Buena
CAÑA DE AZUCAR,197,Tucumán,Monteros
CAÑA DE AZUCAR,197,Tucumán,La Cocha
CAÑA DE AZUCAR,197,Tucumán,Juan Bautista Alberdi
CAÑA DE AZUCAR,197,Tucumán,Chicligasta
CAÑA DE AZUCAR,197,Tucumán,Capital
