provincia,tasa_mujeres,mayor_a_promedio_nacional
Buenos Aires,0.3661851212879083,True
Catamarca,0.3281718061674008,False
Chaco,0.2666322507978228,False
Chubut,0.39387131027764233,True
Ciudad de Buenos Aires,0.38525501809806273,True
Corrientes,0.2614244261989175,False
Córdoba,0.34510321589388354,True
Entre Ríos,0.3177059139784931,False
Formosa,0.29512896469180117,False
Jujuy,0.3295591259640103,False
La Pampa,0.3400858141340931,True
La Rioja,0.32864473257698523,False
Mendoza,0.2937458791685455,False
Misiones,0.2856870658286467,False
Neuquén,0.39223715043188134,True
Río Negro,0.38677605841371876,True
Salta,0.3295195621988069,False
San Juan,0.2898287261649548,False
San Luis,0.35246329980740415,True
Santa Cruz,0.4049739058968567,True
Santa Fe,0.3385633517638842,True
Santiago del Estero,0.310159445660103,False
Tierra del Fuego,0.38075116640746487,True
Tucumán,0.31011352365634615,False
