razon_social,establecimiento,id_depto,nombre_rubro
ADD CROPS S.A.,BARADERO 1,06070,AGRICULTURA
ADD CROPS S.A.,BARADERO 2,06070,AGRICULTURA
ADD CROPS S.A.,EL BUEN RETIRO,06070,AGRICULTURA
AGRICOLA EL HORIZONTE S.A.,EL RELINCHO,06049,AGRICULTURA
AGRICOLA EL HORIZONTE S.A.,EL HORIZONTE,06049,AGRICULTURA
AGRO ROSSI S.H.,DON GISLENO,06070,AGRICULTURA
AGRO ROSSI S.H.,ONELIA,06875,AGRICULTURA
ALVAREZ ANA MARIA,EL PAMPA ORGANICO,18105,FRUTICULTURA/HORTICULTURA
ANIJG AGENCY S.A.,EL FORTIN,54112,GANADERIA
ARBE JUAN LUCAS,NATURAL PAMPA,06049,FRUTICULTURA/HORTICULTURA
ARGENTINA SPECIALITY S.R.L.,LA MORENITA,70126,FRUTICULTURA/HORTICULTURA
AUTOSOL PARTS S.A.,SAN JOSE,54112,FRUTICULTURA/HORTICULTURA
BANDERITAS S.A.,JUAN ALBERTO,06329,AGRICULTURA
BANDERITAS S.A.,SANTA RITA,06189,AGRICULTURA
BANDERITAS S.A.,LA COLORADA,54112,AGRICULTURA
BANDERITAS S.A.,LA NELIDA,06441,AGRICULTURA
BARRETO JORGE JAVIER,LOS ARANDANALES,06441,FRUTICULTURA/HORTICULTURA
BERRIES PREMIUM SA,BERRIES PREMIUM,06134,FRUTICULTURA/HORTICULTURA
BIANCHI FERNANDO LUIS,"""LA JULIA"" Y ""LA JULITA""",74021,GANADERIA
BIOLIVE S.A.,EL PIAL,62007,AGRICULTURA
BORCHARDT FRANCISCO,ORGANIC ORCHARD,06791,FRUTICULTURA/HORTICULTURA
BUENA TIERRA SRL.,SANTA LUCIA,18063,FRUTICULTURA/HORTICULTURA
CHACRA RUMFE SRL,CHACRA RUMFE,18105,AGRICULTURA
CIDEL ORGANICA S.R.L.,QUINTA 462,54112,HORTICULTURA
CIDEL ORGANICA SRL,LA ANUNCIACION QUINTA 2,06875,HORTICULTURA
COOPERATIVA GRANJERA ENTRERIANA DE CHACRAS ORGANICAS LTDA.,EL SEÑUELO,74028,GANADERIA
"CORDOBA, MIGUEL ANGEL",EL 48,06224,AGRICULTURA
COSUFRUTOS SA,PUENTE VIEJO,18105,FRUTICULTURA
